id,kind,title,excerpt,body,source,url,created_at,level,image_url,phonetic,is_hot,tags
8f396cf0-2c5a-43e7-882c-d651ea8bf0a9,idiom,step into sb's shoes,,We had to step into someone's shoes before making a final decision.,list of idioms intermediate 2.txt,,2026-03-07 12:12:55.362803+03,B2,,,false,{idiom}
dfc55950-8f67-4a24-8cd1-dcdc2a6b70b4,idiom,Charley Horse,Судорога в ноге,I woke up at night with a charley horse in my calf.,engxam.com CAE Useful Idioms & Phrases,,2026-03-07 08:27:18.882131+03,C1,,,false,{idiom}
c39ab3e3-2c21-452d-ad7e-61c19ae057c8,idiom,side with,,We had to side with before making a final decision.,list of idioms intermediate 2.txt,,2026-03-07 12:12:55.362803+03,B2,,,false,{idiom}
57fe56d3-2193-4398-a6b5-5fd82636129d,idiom,Elvis Has Left The Building,Всё кончено; представление окончено,"Once the lights came on, Elvis had left the building.",engxam.com CAE Useful Idioms & Phrases,,2026-03-07 08:27:18.882131+03,C2,,,false,{idiom}
387cbe19-ec78-479e-8cbe-2801b7b673a2,idiom,Hit The Hay,Пойти спать,"I’m exhausted, so I’m going to hit the hay.",engxam.com CAE Useful Idioms & Phrases,,2026-03-07 08:27:18.882131+03,B1,,,false,{idiom}
a3777716-bb4d-4e7e-ab32-2cd7a98c93fe,idiom,never/not do things/anything by halves,,We had to never/not do things/anything by halves before making a final decision.,list of idioms intermediate 2.txt,,2026-03-07 12:12:55.362803+03,B2,,,false,{idiom}
9d08f2ec-9c0c-4b3d-8f4e-2fed568b9f55,idiom,chip in,,We had to chip in before making a final decision.,list of idioms intermediate 2.txt,,2026-03-07 12:12:55.362803+03,B2,,,false,{idiom}
23426dbb-5a07-4576-ae68-38104e34bb88,idiom,be out of action,,Be out of action after a good night's sleep.,list of idioms intermediate 2.txt,,2026-03-07 12:12:55.362803+03,B2,,,false,{idiom}
df99cde8-974a-46f0-9497-c79b818d1f27,idiom,leave well alone,,The detective promised to leave well alone.,list of idioms intermediate 2.txt,,2026-03-07 12:12:55.362803+03,B2,,,false,{idiom}
d7fb8db3-80b3-41f2-a6d9-8d5e8051768b,idiom,sb's heart misses/skips a beat,,Someone's heart misses/skips a beat.,list of idioms intermediate 2.txt,,2026-03-07 12:12:55.362803+03,B2,,,false,{idiom}
d5bbf49f-64f9-4224-8101-1ec2c5658341,idiom,get (hold of) the wrong end of the stick,,She get (hold of) the wrong end of the stick when she heard the bad news.,list of idioms intermediate 2.txt,,2026-03-07 12:12:55.362803+03,B2,,,false,{idiom}
31eb0585-30d0-4bee-9cee-ac1ac002a37f,idiom,fall/land on your feet,,We had to fall/land on your feet before making a final decision.,list of idioms intermediate 2.txt,,2026-03-07 12:12:55.362803+03,B2,,,false,{idiom}
3f226396-8fea-43a1-b275-53f5ee12f535,idiom,Kick the bucket,сыграть в ящик,He joked he'd travel before he kicks the bucket.,Idiom Bank,,2026-03-03 06:28:42.16627+03,B1,,,false,{idiom}
81525b46-29fb-4975-8ecc-f48058fb985a,idiom,for the time being,,We had to for the time being before making a final decision.,list of idioms intermediate 2.txt,,2026-03-07 12:12:55.362803+03,B2,,,false,{idiom}
13b3dc34-480c-47f4-964d-02415a81486e,idiom,leave a sour taste in the mouth,,The detective promised to leave a sour taste in the mouth.,list of idioms intermediate 2.txt,,2026-03-07 12:12:55.362803+03,B2,,,false,{idiom}
29f643a4-2d38-4473-a2cf-c23e94cfd08d,idiom,drag your feet,,We had to drag your feet before making a final decision.,list of idioms intermediate 2.txt,,2026-03-07 12:12:55.362803+03,B2,,,false,{idiom}
a9dc175a-84b7-48a8-8bf3-6451a3cc67b6,idiom,have cold feet,,Have cold feet because of that comment.,list of idioms intermediate 2.txt,,2026-03-07 12:12:55.362803+03,B2,,,false,{idiom}
28e25b60-b325-4fd8-854d-171878404149,idiom,be in seventh heaven,,Be in seventh heaven after a good night's sleep.,list of idioms intermediate 2.txt,,2026-03-07 12:12:55.362803+03,B2,,,false,{idiom}
ff5dd111-5021-4f0c-82a9-3b3ad511d738,idiom,be/feel at home,,We had to be/feel at home before making a final decision.,list of idioms intermediate 2.txt,,2026-03-07 12:12:55.362803+03,B2,,,false,{idiom}
947e6aba-a740-4668-9555-41783961511b,idiom,far-fetched,,We had to far-fetched before making a final decision.,list of idioms intermediate 2.txt,,2026-03-07 12:12:55.362803+03,B2,,,false,{idiom}
3028863a-8cb8-4abb-85eb-9f846cadf7ff,idiom,couldn't believe your ears,,We had to couldn't believe your ears before making a final decision.,list of idioms intermediate 2.txt,,2026-03-07 12:12:55.362803+03,B2,,,false,{idiom}
27b409ad-af32-455d-a8d7-b6b45c2a8507,idiom,as good as gold,,We had to as good as gold before making a final decision.,list of idioms intermediate 2.txt,,2026-03-07 12:12:55.362803+03,B2,,,false,{idiom}
687f3379-aca0-4179-ba02-412655ef56e4,idiom,draw a blank,,We had to draw a blank before making a final decision.,list of idioms intermediate 2.txt,,2026-03-07 12:12:55.362803+03,B2,,,false,{idiom}
89e0e33b-2198-4365-97ce-fccf3c7e31f8,idiom,a drop in the ocean,,We had to a drop in the ocean before making a final decision.,list of idioms intermediate 2.txt,,2026-03-07 12:12:55.362803+03,B2,,,false,{idiom}
4aaead03-0a50-470d-8667-f03df66a1ea0,idiom,a high-flyer,,We had to a high-flyer before making a final decision.,list of idioms intermediate 2.txt,,2026-03-07 12:12:55.362803+03,B2,,,false,{idiom}
